hidden_layers,neurons_per_layer,optimizer,loss,accuracy
1,32,adam,0.5545560717582703,0.728863000869751
1,32,sgd,0.5560070872306824,0.7278425693511963
1,32,rmsprop,0.5633448362350464,0.725218653678894
1,64,adam,0.5571717023849487,0.7260932922363281
1,64,sgd,0.5561794638633728,0.7265306115150452
1,64,rmsprop,0.5639685392379761,0.7256559729576111
1,128,adam,0.5556658506393433,0.7262390851974487
1,128,sgd,0.5541040301322937,0.7287172079086304
1,128,rmsprop,0.5811946392059326,0.7246355414390564
2,32,adam,0.5583977699279785,0.7221574187278748
2,32,sgd,0.5532382726669312,0.7279883623123169
2,32,rmsprop,0.5606725811958313,0.7274052500724792
2,64,adam,0.5663778781890869,0.7272594571113586
2,64,sgd,0.5553333163261414,0.728863000869751
2,64,rmsprop,0.5584562420845032,0.7269679307937622
2,128,adam,0.5721427798271179,0.7281340956687927
2,128,sgd,0.5552810430526733,0.7246355414390564
2,128,rmsprop,0.5604498386383057,0.7268221378326416
3,32,adam,0.5652368068695068,0.7227405309677124
3,32,sgd,0.5527679324150085,0.7298833727836609
3,32,rmsprop,0.5608781576156616,0.72434401512146
3,64,adam,0.5775952339172363,0.7258017659187317
3,64,sgd,0.5547420978546143,0.7256559729576111
3,64,rmsprop,0.606683611869812,0.7250728607177734
3,128,adam,0.6081271767616272,0.7282798886299133
3,128,sgd,0.5559179782867432,0.7268221378326416
3,128,rmsprop,0.6586016416549683,0.7269679307937622
